Taxon_Group,Taxon_orig,Taxon_v2,Changed,Rationale,NonTarget,OTU_MTTI,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Oligochaeta,Haplotaxidae,Haplotaxis,yes,,FALSE,Haplotaxidae,Oligochaeta,68505,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,
Oligochaeta,Haplotaxis,Haplotaxis,no,,FALSE,Haplotaxidae,Oligochaeta,68505,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,
Oligochaeta,Haplotaxida,Haplotaxis,yes,,FALSE,Haplotaxidae,Oligochaeta,68505,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,
Oligochaeta,Altmanella,Altmanella,no,,FALSE,Lumbriculidae,Oligochaeta,974298,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Altmanella,,,,,
Oligochaeta,Eclipidrilus,Eclipidrilus,no,,FALSE,Lumbriculidae,Oligochaeta,68473,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Eclipidrilus,,,,,
Oligochaeta,Guestphalinus,Guestphalinus,no,,FALSE,Lumbriculidae,Oligochaeta,68487,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Guestphalinus,,,,,
Oligochaeta,Kincaidiana,Kincaidiana,no,,FALSE,Lumbriculidae,Oligochaeta,68470,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Kincaidiana,,,,,
Oligochaeta,Kincaidiana hexatheca,Kincaidiana,yes,,FALSE,Lumbriculidae,Oligochaeta,68470,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Kincaidiana,,,,,
Oligochaeta,Rhynchelmis,Rhynchelmis,no,,FALSE,Lumbriculidae,Oligochaeta,68463,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Rhynchelmis,,,,,
Oligochaeta,Stylodrilus,Stylodrilus,no,,FALSE,Lumbriculidae,Oligochaeta,68450,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Stylodrilus,,,,,
Oligochaeta,Stylodrilus heringianus,Stylodrilus,yes,,FALSE,Lumbriculidae,Oligochaeta,68450,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Stylodrilus,,,,,
Oligochaeta,Lumbriculus,Lumbriculidae,yes,,FALSE,Lumbriculidae,Oligochaeta,68440,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,,,,,,
Oligochaeta,Lumbriculidae,Lumbriculidae,no,,FALSE,Lumbriculidae,Oligochaeta,68440,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,,,,,,
Terrestrial,Eiseniella tetraedra,Eiseniella tetraedra,no,Mostly Terrestrial,TRUE,DNI,Oligochaeta,976647,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,Eiseniella,,,,,tetraedra
Terrestrial,Lumbricidae,Lumbricidae,no,Mostly Terrestrial,TRUE,DNI,Oligochaeta,69165,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,,,,,,
Terrestrial,Lumbricina,Lumbricidae,yes,Mostly Terrestrial,TRUE,DNI,Oligochaeta,69165,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,,,,,,
Oligochaeta,Arcteonais,Arcteonais,no,,FALSE,Naidinae,Oligochaeta,68975,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Arcteonais,,,,,
Oligochaeta,Chaetogaster,Chaetogaster,no,,FALSE,Naidinae,Oligochaeta,68934,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Chaetogaster,,,,,
Oligochaeta,Dero,Dero,no,,FALSE,Naidinae,Oligochaeta,68898,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Dero,,,,,
Oligochaeta,Haemonais,Haemonais,no,,FALSE,Naidinae,Oligochaeta,69003,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Haemonais,,,,,
Oligochaeta,Nais,Nais,no,,FALSE,Naidinae,Oligochaeta,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,
Oligochaeta,Nais variabilis,Nais,yes,,FALSE,Naidinae,Oligochaeta,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,
Oligochaeta,Nais communis,Nais,yes,,FALSE,Naidinae,Oligochaeta,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,
Oligochaeta,Ophidonais serpentina,Ophidonais,yes,,FALSE,Naidinae,Oligochaeta,68995,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Ophidonais,,,,,
Oligochaeta,Ophidonais,Ophidonais,no,,FALSE,Naidinae,Oligochaeta,68995,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Ophidonais,,,,,
Oligochaeta,Paranais,Paranais,no,,FALSE,Naidinae,Oligochaeta,68862,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Paranais,,,,,
Oligochaeta,Slavina appendiculata,Slavina,yes,,FALSE,Naidinae,Oligochaeta,68855,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Slavina,,,,,
Oligochaeta,Slavina,Slavina,no,,FALSE,Naidinae,Oligochaeta,68855,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Slavina,,,,,
Oligochaeta,Specaria,Specaria,no,,FALSE,Naidinae,Oligochaeta,68984,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Specaria,,,,,
Oligochaeta,Stylaria lacustris,Stylaria,yes,,FALSE,Naidinae,Oligochaeta,68871,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stylaria,,,,,
Oligochaeta,Stylaria,Stylaria,no,,FALSE,Naidinae,Oligochaeta,68871,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stylaria,,,,,
Oligochaeta,Uncinais,Uncinais,no,,FALSE,Naidinae,Oligochaeta,68990,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Uncinais,,,,,
Oligochaeta,Uncinais uncinata,Uncinais,yes,There is only one species in this genus,FALSE,Naidinae,Oligochaeta,68990,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Uncinais,,,,,
Oligochaeta,Vejdovskyella,Vejdovskyella,no,,FALSE,Naidinae,Oligochaeta,69009,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Vejdovskyella,,,,,
Oligochaeta,Naidinae,Naidinae,no,,FALSE,Naidinae,Oligochaeta,974284,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,,,,,,
Oligochaeta,Nootkadrilus,Nootkadrilus,no,,FALSE,DNI,Oligochaeta,974543,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Phallodrilinae,,,Nootkadrilus,,,,,
Oligochaeta,Pristina jenkinae,Pristina,yes,,FALSE,Pristina,Oligochaeta,68876,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,
Oligochaeta,Pristina,Pristina,no,,FALSE,Pristina,Oligochaeta,68876,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,
Oligochaeta,Pristina aequiseta,Pristina,yes,,FALSE,Pristina,Oligochaeta,68876,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,
