INDEX_NAME	Index_Region	SITE_TYPE	SampleID	TaxaID	N_TAXA	Exclude	NonTarget	Phylum	Class	Order	Family	Subfamily	Tribe	Genus	BCG_Attr	Thermal_Indicator	FFG	Clinger	LongLived	Noteworthy	Habitat	SubPhylum	InfraOrder	Habit	Life_Cycle	TolVal	FFG2	TolVal2
BCG.PacNW.L106	ALL	hi	9120_14054	Empididae	1	TRUE	FALSE	Arthropoda	Insecta	Diptera	Empididae				4	NA	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L107	ALL	hi	9120_14054	Eukiefferiella	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Eukiefferiella	4	NA	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L108	ALL	hi	9120_14054	Forcipomyiinae	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Ceratopogonidae	Forcipomyiinae			1	cool_warm	PR	no	FALSE	FALSE	GENE							
BCG.PacNW.L109	ALL	hi	9120_14054	Glossosoma	3	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Glossosomatidae	Glossosomatinae	Glossosomatini	Glossosoma	1	cold_cool	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L110	ALL	hi	9120_14054	Glossosomatidae	1	TRUE	FALSE	Arthropoda	Insecta	Trichoptera	Glossosomatidae				1	NA	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L111	ALL	hi	9120_14054	Hesperoperla pacifica	1	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Perlidae	Acroneuriinae	Acroneuriini	Hesperoperla	1	cold_cool	PR	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L112	ALL	hi	9120_14054	Heterlimnius corpulentus	6	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae	Elminae		Heterlimnius	1	cold_cool	GC	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L113	ALL	hi	9120_14054	Hydraena	2	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Hydraenidae	Hydraeninae	Hydraenini	Hydraena	1	cool_warm	PR	yes	FALSE	FALSE	GENE							
BCG.PacNW.L114	ALL	hi	9120_14054	Hydropsyche	64	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Hydropsychinae		Hydropsyche	4	cool_warm	FC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L115	ALL	hi	9120_14054	Lepidostoma	1	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Lepidostomatidae	Lepidostomatinae		Lepidostoma	1	NA	SH	no	FALSE	FALSE	DEPO							
